Designator,Mid X,Mid Y,Rotation,Layer
C1,68.580000,-33.020000,270.000000,top
C2,99.060000,-33.020000,270.000000,top
C3,129.540000,-33.020000,270.000000,top
C4,132.080000,-45.720000,180.000000,top
C5,132.325001,-76.200000,180.000000,top
C6,132.080000,-106.680000,180.000000,top
C7,132.080000,-137.160000,180.000000,top
C8,132.080000,-167.640000,180.000000,top
C9,132.080000,-198.120000,180.000000,top
C10,118.110000,-203.200000,90.000000,top
C11,87.630000,-203.200000,90.000000,top
C12,57.150000,-203.200000,90.000000,top
C13,55.880000,-187.960000,0.000000,top
C14,55.880000,-157.480000,0.000000,top
C15,55.880000,-127.000000,0.000000,top
C16,55.880000,-96.520000,0.000000,top
C17,55.880000,-66.040000,0.000000,top
C18,55.880000,-35.560000,0.000000,top
C19,71.120000,-123.190000,270.000000,top
C20,101.600000,-123.190000,270.000000,top
C21,132.080000,-123.190000,270.000000,top
D1,55.880000,-25.400000,180.000000,top
D2,71.120000,-25.400000,180.000000,top
D3,86.360000,-25.400000,180.000000,top
D4,101.600000,-25.400000,180.000000,top
D5,116.840000,-25.400000,180.000000,top
D6,132.080000,-25.400000,180.000000,top
D7,139.700000,-33.020000,90.000000,top
D8,139.700000,-48.260000,90.000000,top
D9,139.700000,-63.500000,90.000000,top
D10,139.700000,-78.740000,90.000000,top
D11,139.700000,-93.980000,90.000000,top
D12,139.700000,-109.220000,90.000000,top
D13,139.700000,-124.460000,90.000000,top
D14,139.700000,-139.700000,90.000000,top
D15,139.700000,-154.940000,90.000000,top
D16,139.700000,-170.180000,90.000000,top
D17,139.700000,-185.420000,90.000000,top
D18,139.700000,-200.660000,90.000000,top
D19,132.080000,-210.820000,0.000000,top
D20,116.840000,-210.820000,0.000000,top
D21,101.600000,-210.820000,0.000000,top
D22,86.360000,-210.820000,0.000000,top
D23,71.120000,-210.820000,0.000000,top
D24,55.880000,-210.820000,0.000000,top
D25,48.260000,-200.660000,270.000000,top
D26,48.260000,-185.420000,270.000000,top
D27,48.260000,-170.180000,270.000000,top
D28,48.260000,-154.940000,270.000000,top
D29,48.260000,-139.700000,270.000000,top
D30,48.260000,-124.460000,270.000000,top
D31,48.260000,-109.220000,270.000000,top
D32,48.260000,-93.980000,270.000000,top
D33,48.260000,-78.740000,270.000000,top
D34,48.260000,-63.500000,270.000000,top
D35,48.260000,-48.260000,270.000000,top
D36,48.260000,-33.020000,270.000000,top
D37,55.880000,-116.840000,180.000000,top
D38,71.120000,-116.840000,180.000000,top
D39,86.360000,-116.840000,180.000000,top
D40,101.600000,-116.840000,180.000000,top
D41,116.840000,-116.840000,180.000000,top
D42,132.080000,-116.840000,180.000000,top
R1,49.530000,-22.860000,90.000000,top
